Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Maize	brn1		0.575	Pale brown seeds due to reduced levels of brown pigment in seed coat (testa).	Brown embryo.	2867
1	Maize	brn1		0.481	Pale brown seeds due to reduced levels of brown pigment in seed coat (testa).	Brown kernel.	2867
1	Maize	brn1		0.429	Pale brown seeds due to reduced levels of brown pigment in seed coat (testa).	Brown aleurone.	2867
1	Maize	brn1		0.280	Pale brown seeds due to reduced levels of brown pigment in seed coat (testa).	Yellowish brown color in the aleurone layer.	2867
1	Maize	brn1		0.056	Pale brown seeds due to reduced levels of brown pigment in seed coat (testa).	In Bn1, can cause kernel color of white endosperm mutants to appear pale yellow or lemon.	2867
1	Maize	brn1		0.000	Pale brown seeds due to reduced levels of brown pigment in seed coat (testa).	Lethal.	2867
1	Maize	brn1		0.000	Pale brown seeds due to reduced levels of brown pigment in seed coat (testa).	Seedling lethal.	2867
1	Maize	brn1		0.000	Reduced levels of anthocyanins in leaves, stems and other tissues.	Brown aleurone.	2867
1	Maize	brn1		0.000	Reduced levels of anthocyanins in leaves, stems and other tissues.	In Bn1, can cause kernel color of white endosperm mutants to appear pale yellow or lemon.	2867
1	Maize	brn1		0.000	Reduced levels of anthocyanins in leaves, stems and other tissues.	Yellowish brown color in the aleurone layer.	2867
1	Maize	brn1		0.000	Reduced levels of anthocyanins in leaves, stems and other tissues.	Brown embryo.	2867
1	Maize	brn1		0.000	Reduced levels of anthocyanins in leaves, stems and other tissues.	Brown kernel.	2867
1	Maize	brn1		0.000	Reduced levels of anthocyanins in leaves, stems and other tissues.	Lethal.	2867
1	Maize	brn1		0.000	Reduced levels of anthocyanins in leaves, stems and other tissues.	Seedling lethal.	2867
2	Maize	brt1		0.534	Pale brown seeds due to reduced levels of brown pigment in seed coat (testa).	Brown roots.	2876
2	Maize	brt1		0.000	Pale brown seeds due to reduced levels of brown pigment in seed coat (testa).	Roots senesce prematurely after germination.	2876
2	Maize	brt1		0.000	Reduced levels of anthocyanins in leaves, stems and other tissues.	Brown roots.	2876
2	Maize	brt1		0.000	Reduced levels of anthocyanins in leaves, stems and other tissues.	Roots senesce prematurely after germination.	2876
3	Maize	lc1		0.519	Reduced levels of anthocyanins in leaves, stems and other tissues.	Anthocyanin.	2818
3	Maize	lc1		0.290	Reduced levels of anthocyanins in leaves, stems and other tissues.	Anthocyanin pigment in pericarp.	2818
3	Maize	lc1		0.255	Reduced levels of anthocyanins in leaves, stems and other tissues.	Anthocyanin pigment in auricle.	2818
3	Maize	lc1		0.229	Reduced levels of anthocyanins in leaves, stems and other tissues.	Strong anthocyanin on leaf blade after 4-6 leaf stage.	2818
3	Maize	lc1		0.159	Pale brown seeds due to reduced levels of brown pigment in seed coat (testa).	Non-pigmented.	2818
