id,Rank,Gene
1788,1,hm2
1789,2,hm1
2787,3,y9
2727,4,lw2
2746,5,vp9
2760,6,w3
2726,7,lw1
2719,8,cl1
2728,9,lw3
2729,10,lw4
2730,11,lw5
2731,12,lw6
2715,13,al1
2717,14,ws3
2720,15,cp2
2759,16,w2
2841,17,y1
3331,18,v*-N779A
3697,19,v24
3698,20,v*-N114A
3699,21,v*-N245
3703,22,wlv1
3707,23,yg2
1218,24,su1
2975,25,pg15
224,26,g2
3329,27,v29
3418,28,sh6
3686,29,pg*-N296A
3692,30,pg*-N71A
3693,31,smk*-N1168A
3700,32,v*-N470A
3701,33,v*-N634A
3702,34,v*-N735
3706,35,wst*-N548
3414,36,ys1
2857,37,cp*-N1313
3325,38,o*-N1384A
3326,39,pg*-N673A
3097,40,dek5
3264,41,fl*-N1333B
3194,42,smp*-N586B
2852,43,d*-N1352B
3704,44,ws4
1517,45,oy1
2838,46,l*-N113
2950,47,pro1
3341,48,pg*-N484A
1281,49,rld1
2837,50,blh*-N487C
