id,Rank,Gene
4862,1,ATG13B
4968,2,ATG13
4274,3,ATG12A
4688,4,ATG4A
4821,5,APG12B
5030,6,AT3G59950
5585,7,APG7
5272,8,ATG11
5200,9,ATCES1
2270,10,HAC1
2203,11,XCT
2367,12,SHB1
1310,13,COL3
1689,14,ETFQO
4584,15,FC2
2056,16,SPA1
4165,17,CIB5
5304,18,CIB1
5305,19,AT4G34540
2025,20,ABI1
216,21,CER2
2008,22,GA5
5235,23,FWA
554,24,FIO1
2377,25,ATG10
462,26,APG5
1251,27,FT
4325,28,NRPD1A
4655,29,NRPD1B
4816,30,PPK1
4854,31,NRPD2B
4900,32,NRPD2A
5009,33,NRPE5
1400,34,ADG1
4069,35,DRA2
19,36,PCL1
1247,37,FHA
4312,38,VIP5
1818,39,GAI
2219,40,CTR1
2356,41,RGA1
1256,42,LD
1162,43,SKB1
4285,44,SIP1
1058,45,ABI4
23,46,AVP1
1263,47,AGL20
4206,48,UPF3
1257,49,FCA
2205,50,LHY
