id,Rank,Gene
1676,1,FLS1
1603,2,PPI1
1313,3,HY5
1575,4,UVH6
1624,5,PHA
3979,6,ADE1
1572,7,SCO3
1604,8,ABC1
1605,9,PGP1
4241,10,AT1G50060
4987,11,LecRK-VIII.1
1649,12,CH1
2412,13,SAC9
1677,14,AtCAT6
1680,15,COP10
5764,16,CHVI3
850,17,AtASP38
6206,18,EMB150
7160,19,EMB43
6766,20,EMB225
5963,21,EMB120
6320,22,EMB163
7163,23,EMB53
7168,24,EMB59
5164,25,LIL3:1
5591,26,LIL3:2
430,27,GUN4
482,28,PEX6
1552,29,EMB3113
432,30,GGT1
1644,31,TIC
1320,32,SPY
1640,33,PHYB
259,34,GA1
1931,35,TRXP
483,36,PSAG
1982,37,APG1
1641,38,PRPL11
484,39,HY1
1638,40,FAMA
485,41,MUTE
1533,42,CLPR2
481,43,RCP1
1636,44,CAO
1288,45,OTP51
1607,46,PCB2
1556,47,EMB2729
1643,48,PSAE1
1645,49,GHS1
1951,50,RNEE/G
