id,Rank,Gene
1788,1,hm2
1789,2,hm1
2787,3,y9
2760,4,w3
2727,5,lw2
2746,6,vp9
2719,7,cl1
2726,8,lw1
2728,9,lw3
2729,10,lw4
2730,11,lw5
2731,12,lw6
2715,13,al1
2717,14,ws3
2759,15,w2
2720,16,cp2
2841,17,y1
3331,18,v*-N779A
3697,19,v24
3698,20,v*-N114A
3699,21,v*-N245
3703,22,wlv1
3707,23,yg2
1218,24,su1
224,25,g2
3408,26,orp1
3409,27,orp2
3097,28,dek5
3706,29,wst*-N548
3329,30,v29
3418,31,sh6
3686,32,pg*-N296A
3692,33,pg*-N71A
3693,34,smk*-N1168A
3700,35,v*-N470A
3701,36,v*-N634A
3702,37,v*-N735
2975,38,pg15
2950,39,pro1
2857,40,cp*-N1313
2909,41,cp*-N1294
3414,42,ys1
3325,43,o*-N1384A
3326,44,pg*-N673A
3685,45,pg*-N1885
3696,46,spt*-N1620B
2838,47,l*-N113
3620,48,sr3
2837,49,blh*-N487C
3194,50,smp*-N586B
