id,Rank,Gene
1788,1,hm2
1789,2,hm1
2787,3,y9
2727,4,lw2
2746,5,vp9
2760,6,w3
2726,7,lw1
2719,8,cl1
2728,9,lw3
2729,10,lw4
2730,11,lw5
2731,12,lw6
2715,13,al1
2717,14,ws3
2759,15,w2
2841,16,y1
2720,17,cp2
2950,18,pro1
224,19,g2
2975,20,pg15
2857,21,cp*-N1313
3414,22,ys1
1218,23,su1
3097,24,dek5
1517,25,oy1
3341,26,pg*-N484A
2909,27,cp*-N1294
3331,28,v*-N779A
3697,29,v24
3698,30,v*-N114A
3699,31,v*-N245
3703,32,wlv1
3707,33,yg2
2852,34,d*-N1352B
3226,35,et*-N1001A
3264,36,fl*-N1333B
3704,37,ws4
3685,38,pg*-N1885
3696,39,spt*-N1620B
2837,40,blh*-N487C
2838,41,l*-N113
3706,42,wst*-N548
3705,43,wst*-N413A
3329,44,v29
3418,45,sh6
3686,46,pg*-N296A
3692,47,pg*-N71A
3693,48,smk*-N1168A
3700,49,v*-N470A
3701,50,v*-N634A
