id,Rank,Gene
5585,1,APG7
4274,2,ATG12A
4688,3,ATG4A
4821,4,APG12B
5030,5,AT3G59950
5272,6,ATG11
4862,7,ATG13B
4968,8,ATG13
2377,9,ATG10
462,10,APG5
5200,11,ATCES1
4546,12,NRAMP3
5737,13,NRAMP4
1391,14,SKOR
5741,15,ATR1
1943,16,TRXH9
5719,17,AT5G64690
504,18,ELP
7279,19,LIT
1728,20,NRT1.5
431,21,KOB1
5472,22,SPL7
566,23,NLA
5559,24,Mfl1
2006,25,HOT5
4672,26,STL1
5014,27,STL2
2371,28,PSKR1
1949,29,PED1
596,30,SUS3
597,31,SUS2
4398,32,SUS6
5539,33,SUS5
1762,34,GL1
1194,35,AHK3
2295,36,CRE1
7238,37,GUP1
7239,38,GUP2
1936,39,FLU
4172,40,EX2
2129,41,VTI1b
4617,42,EDA3
4370,43,PHO1;H1
1094,44,AtBAG6
1095,45,AtBAG4
5535,46,HK2
2130,47,ATL6
2131,48,ATL2
2132,49,CNI1
4600,50,MYB101
