id,Rank,Gene
1988,1,COP1
1676,2,FLS1
2412,3,SAC9
1677,4,AtCAT6
1680,5,COP10
1675,6,CSN5A
2449,7,BNQ3
367,8,AtISA2
9,9,SBE2.1
1679,10,FUS5
1986,11,COP8
1987,12,COP9
1990,13,FUS6
324,14,TPD1
514,15,FRA8
1473,16,DYT1
1863,17,FUS12
430,18,GUN4
1542,19,SHS1
619,20,YDA
2051,21,BOR1
1537,22,SUS1
7159,23,EMB41
7084,24,EMB270
1989,25,FUS11
1955,26,TIC21
6656,27,EMB210
7176,28,EMB70
7170,29,EMB65
4763,30,SMEK1
712,31,BIO1
2620,32,TTG1
1471,33,MS1
2325,34,SUB
597,35,SUS2
5853,36,EMB106
6584,37,EMB20
815,38,EMB140
6595,39,EMB202
5808,40,EMB10
6458,41,EMB18
6814,42,EMB232
7180,43,EMB83
6539,44,EMB19
1541,45,EMB2284
1530,46,EMB262
6766,47,EMB225
6162,48,EMB145
786,49,BIO2
6750,50,EMB223
