id,Rank,Gene
23,1,AVP1
1762,2,GL1
2252,3,ER
2295,4,CRE1
1537,5,SUS1
1194,6,AHK3
5535,7,HK2
1635,8,RSR4
1745,9,ABA2
1541,10,EMB2284
1424,11,BRM
442,12,BRI1
1314,13,EIN2
2219,14,CTR1
2140,15,AtSIZ1
450,16,AXR1
1535,17,ISE2
1617,18,HUB1
1640,19,PHYB
937,20,STM
180,21,AS1
1566,22,SGR3
1389,23,GPA1
1478,24,COI1
1988,25,COP1
2246,26,SYD
1531,27,CYT1
1675,28,CSN5A
2620,29,TTG1
449,30,LACS2
851,31,AXR6
2006,32,HOT5
259,33,GA1
2016,34,GA4
1012,35,TIR2
2437,36,PARVUS
1438,37,CDC2
479,38,SQE1
1102,39,EPC1
1818,40,GAI
1500,41,AN
638,42,PID
98,43,AUX1
2115,44,SOS3
502,45,IXR2
2260,46,HXK1
459,47,CAND1
179,48,CLF
471,49,VCS
503,50,FBR12
