id,Rank,Gene
5272,1,ATG11
4274,2,ATG12A
4688,3,ATG4A
4821,4,APG12B
5030,5,AT3G59950
5585,6,APG7
4862,7,ATG13B
4968,8,ATG13
5200,9,ATCES1
2593,10,RPN10
462,11,APG5
2377,12,ATG10
568,13,UVH1
23,14,AVP1
567,15,UVH3
427,16,TFL2
438,17,HMG1
460,18,SWEETIE
563,19,SAUL1
564,20,UPL5
565,21,AtFER1
1094,22,AtBAG6
1095,23,AtBAG4
1271,24,MMP
1455,25,TIP1
1578,26,TIP1;1
2418,27,TPST
4864,28,AT3G18930
4984,29,PrxIIE
1762,30,GL1
472,31,CAD1
560,32,BRL2
561,33,DES1
562,34,PSAT1
2371,35,PSKR1
5477,36,AT5G19700
7280,37,LMS1
4720,38,RGLG1
5438,39,RGLG2
1689,40,ETFQO
1745,41,ABA2
111,42,TT16
180,43,AS1
454,44,GCN5
499,45,FRA2
517,46,ATCSLD5
518,47,SCD1
1359,48,MYB51
1637,49,ACP4
1680,50,COP10
