id,Rank,Gene
533,1,APG9
2377,2,ATG10
2129,3,VTI1b
2130,4,ATL6
2131,5,ATL2
2132,6,CNI1
2133,7,NRT1.7
462,8,APG5
226,9,AtDUR3
2570,10,PYD2
5585,11,APG7
2265,12,TIP5;1
2266,13,TIP1;3
4919,14,BHLH32
1455,15,TIP1
1714,16,MOS4
4150,17,AGL104
4437,18,AGL66
728,19,LRE
2521,20,QRT2
1381,21,CUC2
992,22,UNE5
249,23,NRPC2
5431,24,GER5
573,25,AlaAT1
1644,26,TIC
228,27,DCA1
23,28,AVP1
330,29,CRM2
1320,30,SPY
203,31,FRI
1711,32,HSBP
2006,33,HOT5
1635,34,RSR4
2254,35,NUA
448,36,UBP15
1134,37,SSRP1
1135,38,SPT16
2566,39,MAC5A
5224,40,UBP16
5722,41,UBP17
2217,42,HST
2593,43,RPN10
442,44,BRI1
1693,45,NRT1.6
2352,46,AtARP6
1240,47,ARF2
1993,48,STIP
1701,49,AtSPO11-1
637,50,MSI1
