id,Rank,Gene
462,1,APG5
23,2,AVP1
2377,3,ATG10
2016,4,GA4
1566,5,SGR3
483,6,PSAG
456,7,SMT2
442,8,BRI1
2219,9,CTR1
2260,10,HXK1
1164,11,SLY1
451,12,DET2
1818,13,GAI
548,14,FLC
259,15,GA1
2261,16,REF6
459,17,CAND1
1424,18,BRM
1165,19,RDM4
2008,20,GA5
1314,21,EIN2
463,22,SEX4
1541,23,EMB2284
1258,24,AGL24
438,25,HMG1
443,26,RPA2
1537,27,SUS1
1260,28,CO
1354,29,SAMC1
432,30,GGT1
1247,31,FHA
5235,32,FWA
1240,33,ARF2
441,34,ASIL1
427,35,TFL2
2140,36,AtSIZ1
330,37,CRM2
1619,38,CYP38
472,39,CAD1
2298,40,NaKR1
1377,41,RPN12a
1999,42,RPI2
2006,43,HOT5
179,44,CLF
449,45,LACS2
2433,46,MIA
1355,47,AtVGT1
1251,48,FT
1675,49,CSN5A
1620,50,FZL
