id,Rank,Gene
4274,1,ATG12A
4688,2,ATG4A
4821,3,APG12B
5030,4,AT3G59950
5585,5,APG7
4862,6,ATG13B
4968,7,ATG13
5272,8,ATG11
5200,9,ATCES1
4546,10,NRAMP3
5737,11,NRAMP4
462,12,APG5
2377,13,ATG10
1391,14,SKOR
5741,15,ATR1
1943,16,TRXH9
5719,17,AT5G64690
504,18,ELP
7279,19,LIT
1728,20,NRT1.5
431,21,KOB1
5472,22,SPL7
566,23,NLA
5559,24,Mfl1
2006,25,HOT5
4672,26,STL1
5014,27,STL2
2371,28,PSKR1
596,29,SUS3
597,30,SUS2
4398,31,SUS6
5539,32,SUS5
1762,33,GL1
1194,34,AHK3
2295,35,CRE1
7238,36,GUP1
7239,37,GUP2
1936,38,FLU
4172,39,EX2
4617,40,EDA3
4370,41,PHO1;H1
5535,42,HK2
23,43,AVP1
2260,44,HXK1
2383,45,ALDH11A3
1689,46,ETFQO
1531,47,CYT1
2114,48,AtNHX8
560,49,BRL2
5471,50,PUB48
