id,Rank,Gene
297,1,ATG6
23,2,AVP1
301,3,ARO1
1528,4,RSW1
1527,5,CEV1
1523,6,RPT5a
291,7,AtVPS34
1520,8,SWA1
303,9,CNGC18
318,10,PDD25
300,11,REN1
1526,12,MGD4
246,13,OVA9
306,14,SYP41
296,15,DUO1
1525,16,SEC8
312,17,FU
244,18,CKI1
290,19,ADL1C
1524,20,VPS45
243,21,SAC52
299,22,HAP6
320,23,PUR4
305,24,GNL2
1521,25,EMB2779
1522,26,HISN8
311,27,NFD2
249,28,NRPC2
304,29,SYP21
310,30,SEC22
313,31,VHA-A
314,32,MGP1
315,33,PDD12
316,34,PGD4
317,35,TCP16
319,36,SDH1-1
247,37,NRPA2
248,38,Rb
250,39,GFA2
1519,40,EMB1989
1518,41,NOF1
289,42,MGP2
292,43,DUO3
293,44,NPG1
294,45,TPLATE
295,46,SETH3
298,47,SYP42
302,48,CSLD4
307,49,AtUSP
308,50,AHA3
