id,Rank,Gene
1788,1,hm2
1789,2,hm1
2787,3,y9
2727,4,lw2
2746,5,vp9
2760,6,w3
2726,7,lw1
2719,8,cl1
2728,9,lw3
2729,10,lw4
2730,11,lw5
2731,12,lw6
2715,13,al1
2717,14,ws3
2759,15,w2
2720,16,cp2
2975,17,pg15
2841,18,y1
2857,19,cp*-N1313
3097,20,dek5
1281,21,rld1
1218,22,su1
2852,23,d*-N1352B
3414,24,ys1
3704,25,ws4
224,26,g2
1517,27,oy1
2950,28,pro1
3341,29,pg*-N484A
3705,30,wst*-N413A
3706,31,wst*-N548
3688,32,pg*-N484B
3685,33,pg*-N1885
3696,34,spt*-N1620B
3331,35,v*-N779A
3697,36,v24
3698,37,v*-N114A
3699,38,v*-N245
3703,39,wlv1
3707,40,yg2
3620,41,sr3
3418,42,sh6
2837,43,blh*-N487C
2838,44,l*-N113
3194,45,smp*-N586B
3408,46,orp1
3409,47,orp2
3226,48,et*-N1001A
3264,49,fl*-N1333B
2909,50,cp*-N1294
