Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Arabidopsis	ATG13	AT3G49590	1.000	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	4968
1	Arabidopsis	ATG13	AT3G49590	1.000	Hypersensitivity to N and fixed-C deprivation.	Hypersensitivity to N and fixed-C deprivation.	4968
1	Arabidopsis	ATG13	AT3G49590	0.000	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	Hypersensitivity to N and fixed-C deprivation.	4968
1	Arabidopsis	ATG13	AT3G49590	0.000	Hypersensitivity to N and fixed-C deprivation.	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	4968
2	Arabidopsis	ATG13B	AT3G18770	1.000	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	4862
2	Arabidopsis	ATG13B	AT3G18770	1.000	Hypersensitivity to N and fixed-C deprivation.	Hypersensitivity to N and fixed-C deprivation.	4862
2	Arabidopsis	ATG13B	AT3G18770	0.000	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	Hypersensitivity to N and fixed-C deprivation.	4862
2	Arabidopsis	ATG13B	AT3G18770	0.000	Hypersensitivity to N and fixed-C deprivation.	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	4862
3	Arabidopsis	AT3G59950	AT3G59950	1.000	Hypersensitivity to N and fixed-C deprivation.	Hypersensitivity to N and fixed-C deprivation.	5030
3	Arabidopsis	AT3G59950	AT3G59950	0.386	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	Small plants and premature senescence under normal soil-grown conditions.	5030
3	Arabidopsis	AT3G59950	AT3G59950	0.000	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	Hypersensitivity to N and fixed-C deprivation.	5030
3	Arabidopsis	AT3G59950	AT3G59950	0.000	Hypersensitivity to N and fixed-C deprivation.	Small plants and premature senescence under normal soil-grown conditions.	5030
4	Arabidopsis	APG12B	AT3G13970	1.000	Hypersensitivity to N and fixed-C deprivation.	Hypersensitivity to N and fixed-C deprivation.	4821
4	Arabidopsis	APG12B	AT3G13970	0.386	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	Small plants and premature senescence under normal soil-grown conditions.	4821
4	Arabidopsis	APG12B	AT3G13970	0.000	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	Hypersensitivity to N and fixed-C deprivation.	4821
4	Arabidopsis	APG12B	AT3G13970	0.000	Hypersensitivity to N and fixed-C deprivation.	Small plants and premature senescence under normal soil-grown conditions.	4821
5	Arabidopsis	ATG4A	AT2G44140	1.000	Hypersensitivity to N and fixed-C deprivation.	Hypersensitivity to N and fixed-C deprivation.	4688
5	Arabidopsis	ATG4A	AT2G44140	0.386	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	Small plants and premature senescence under normal soil-grown conditions.	4688
5	Arabidopsis	ATG4A	AT2G44140	0.000	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	Hypersensitivity to N and fixed-C deprivation.	4688
5	Arabidopsis	ATG4A	AT2G44140	0.000	Hypersensitivity to N and fixed-C deprivation.	Small plants and premature senescence under normal soil-grown conditions.	4688
6	Arabidopsis	ATG12A	AT1G54210	1.000	Hypersensitivity to N and fixed-C deprivation.	Hypersensitivity to N and fixed-C deprivation.	4274
6	Arabidopsis	ATG12A	AT1G54210	0.386	Premature senescence under a short-day photoperiod (8-hr light/16-hr dark).	Small plants and premature senescence under normal soil-grown conditions.	4274
