Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Arabidopsis	APG9	At2g31260	1.000	Early chlorosis under nitrogen starvation.	Early chlorosis under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	1.000	Reduced fertility under nitrogen starvation.	Reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	1.000	Early chlorosis and reduced fertility under nitrogen starvation.	Early chlorosis and reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	1.000	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	533
1	Arabidopsis	APG9	At2g31260	1.000	Autophagic flux is not fully compromised.	Autophagic flux is not fully compromised.	533
1	Arabidopsis	APG9	At2g31260	1.000	Early chlorosis and reduced seed set under nitrogen starvation.	Early chlorosis and reduced seed set under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.924	Early chlorosis under nitrogen starvation.	Early chlorosis and reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.924	Early chlorosis and reduced fertility under nitrogen starvation.	Early chlorosis under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.857	Early chlorosis under nitrogen starvation.	Early chlorosis and reduced seed set under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.857	Early chlorosis and reduced seed set under nitrogen starvation.	Early chlorosis under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.836	Early chlorosis and reduced fertility under nitrogen starvation.	Early chlorosis and reduced seed set under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.836	Early chlorosis and reduced seed set under nitrogen starvation.	Early chlorosis and reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.814	Reduced fertility under nitrogen starvation.	Early chlorosis and reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.814	Early chlorosis and reduced fertility under nitrogen starvation.	Reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.686	Early chlorosis under nitrogen starvation.	Reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.686	Reduced fertility under nitrogen starvation.	Early chlorosis under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.643	Reduced fertility under nitrogen starvation.	Early chlorosis and reduced seed set under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.643	Early chlorosis and reduced seed set under nitrogen starvation.	Reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.000	Early chlorosis under nitrogen starvation.	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	533
1	Arabidopsis	APG9	At2g31260	0.000	Early chlorosis under nitrogen starvation.	Autophagic flux is not fully compromised.	533
1	Arabidopsis	APG9	At2g31260	0.000	Reduced fertility under nitrogen starvation.	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	533
1	Arabidopsis	APG9	At2g31260	0.000	Reduced fertility under nitrogen starvation.	Autophagic flux is not fully compromised.	533
1	Arabidopsis	APG9	At2g31260	0.000	Early chlorosis and reduced fertility under nitrogen starvation.	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	533
1	Arabidopsis	APG9	At2g31260	0.000	Early chlorosis and reduced fertility under nitrogen starvation.	Autophagic flux is not fully compromised.	533
1	Arabidopsis	APG9	At2g31260	0.000	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	Early chlorosis under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.000	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	Reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.000	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	Early chlorosis and reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.000	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	Autophagic flux is not fully compromised.	533
1	Arabidopsis	APG9	At2g31260	0.000	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	Early chlorosis and reduced seed set under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.000	Autophagic flux is not fully compromised.	Early chlorosis under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.000	Autophagic flux is not fully compromised.	Reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.000	Autophagic flux is not fully compromised.	Early chlorosis and reduced fertility under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.000	Autophagic flux is not fully compromised.	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	533
1	Arabidopsis	APG9	At2g31260	0.000	Autophagic flux is not fully compromised.	Early chlorosis and reduced seed set under nitrogen starvation.	533
1	Arabidopsis	APG9	At2g31260	0.000	Early chlorosis and reduced seed set under nitrogen starvation.	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	533
1	Arabidopsis	APG9	At2g31260	0.000	Early chlorosis and reduced seed set under nitrogen starvation.	Autophagic flux is not fully compromised.	533
2	Arabidopsis	CNI1	At5g27420	0.816	Reduced fertility under nitrogen starvation.	Sensitive to nitrogen starvation.	2132
2	Arabidopsis	CNI1	At5g27420	0.719	Early chlorosis under nitrogen starvation.	Sensitive to nitrogen starvation.	2132
2	Arabidopsis	CNI1	At5g27420	0.697	Reduced fertility under nitrogen starvation.	Sensitive to nitrogen starvation and glucose.	2132
2	Arabidopsis	CNI1	At5g27420	0.664	Early chlorosis and reduced fertility under nitrogen starvation.	Sensitive to nitrogen starvation.	2132
2	Arabidopsis	CNI1	At5g27420	0.616	Early chlorosis and reduced seed set under nitrogen starvation.	Sensitive to nitrogen starvation.	2132
2	Arabidopsis	CNI1	At5g27420	0.614	Early chlorosis under nitrogen starvation.	Sensitive to nitrogen starvation and glucose.	2132
2	Arabidopsis	CNI1	At5g27420	0.567	Early chlorosis and reduced fertility under nitrogen starvation.	Sensitive to nitrogen starvation and glucose.	2132
2	Arabidopsis	CNI1	At5g27420	0.526	Early chlorosis and reduced seed set under nitrogen starvation.	Sensitive to nitrogen starvation and glucose.	2132
2	Arabidopsis	CNI1	At5g27420	0.000	Early chlorosis under nitrogen starvation.	Sensitive to glucose.	2132
2	Arabidopsis	CNI1	At5g27420	0.000	Reduced fertility under nitrogen starvation.	Sensitive to glucose.	2132
2	Arabidopsis	CNI1	At5g27420	0.000	Early chlorosis and reduced fertility under nitrogen starvation.	Sensitive to glucose.	2132
2	Arabidopsis	CNI1	At5g27420	0.000	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	Sensitive to glucose.	2132
2	Arabidopsis	CNI1	At5g27420	0.000	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	Sensitive to nitrogen starvation.	2132
2	Arabidopsis	CNI1	At5g27420	0.000	Delayed ICL (isocitrate lyase) degradation in hypocotyls.	Sensitive to nitrogen starvation and glucose.	2132
2	Arabidopsis	CNI1	At5g27420	0.000	Autophagic flux is not fully compromised.	Sensitive to glucose.	2132
2	Arabidopsis	CNI1	At5g27420	0.000	Autophagic flux is not fully compromised.	Sensitive to nitrogen starvation.	2132
2	Arabidopsis	CNI1	At5g27420	0.000	Autophagic flux is not fully compromised.	Sensitive to nitrogen starvation and glucose.	2132
2	Arabidopsis	CNI1	At5g27420	0.000	Early chlorosis and reduced seed set under nitrogen starvation.	Sensitive to glucose.	2132
3	Arabidopsis	ATL2	At3g16720	0.816	Reduced fertility under nitrogen starvation.	Sensitive to nitrogen starvation.	2131
3	Arabidopsis	ATL2	At3g16720	0.719	Early chlorosis under nitrogen starvation.	Sensitive to nitrogen starvation.	2131
3	Arabidopsis	ATL2	At3g16720	0.697	Reduced fertility under nitrogen starvation.	Sensitive to nitrogen starvation and glucose.	2131
3	Arabidopsis	ATL2	At3g16720	0.664	Early chlorosis and reduced fertility under nitrogen starvation.	Sensitive to nitrogen starvation.	2131
3	Arabidopsis	ATL2	At3g16720	0.616	Early chlorosis and reduced seed set under nitrogen starvation.	Sensitive to nitrogen starvation.	2131
3	Arabidopsis	ATL2	At3g16720	0.614	Early chlorosis under nitrogen starvation.	Sensitive to nitrogen starvation and glucose.	2131
3	Arabidopsis	ATL2	At3g16720	0.567	Early chlorosis and reduced fertility under nitrogen starvation.	Sensitive to nitrogen starvation and glucose.	2131
3	Arabidopsis	ATL2	At3g16720	0.526	Early chlorosis and reduced seed set under nitrogen starvation.	Sensitive to nitrogen starvation and glucose.	2131
