Rank	Species	Gene	Gene Model	Score	Query	Matches	Internal ID
1	Arabidopsis	ATG10	At3g07525	1.000	Early senescence.	Early senescence.	2377
1	Arabidopsis	ATG10	At3g07525	1.000	Late flowering.	Late flowering.	2377
1	Arabidopsis	ATG10	At3g07525	1.000	Reduced fertility.	Reduced fertility.	2377
1	Arabidopsis	ATG10	At3g07525	1.000	Sensitive to carbon starvation.	Sensitive to carbon starvation.	2377
1	Arabidopsis	ATG10	At3g07525	1.000	Sensitive to limited nitrogen.	Sensitive to limited nitrogen.	2377
1	Arabidopsis	ATG10	At3g07525	1.000	Slightly slower rosette growth.	Slightly slower rosette growth.	2377
1	Arabidopsis	ATG10	At3g07525	1.000	Sensitive to carbon starvation and limited nitrogen.	Sensitive to carbon starvation and limited nitrogen.	2377
1	Arabidopsis	ATG10	At3g07525	1.000	Under a short-day photoperiod (8h light/16h dark), the atg10-1 plants developed slightly slower, bolted later, and produced 70% less seed than wild type.	Under a short-day photoperiod (8h light/16h dark), the atg10-1 plants developed slightly slower, bolted later, and produced 70% less seed than wild type.	2377
1	Arabidopsis	ATG10	At3g07525	1.000	Hypersensitive to either nitrogen or carbon deprivation.	Hypersensitive to either nitrogen or carbon deprivation.	2377
1	Arabidopsis	ATG10	At3g07525	1.000	Senescence and programmed cell death is initiated more quickly than in wild type.	Senescence and programmed cell death is initiated more quickly than in wild type.	2377
1	Arabidopsis	ATG10	At3g07525	1.000	Reduced fertility (70% fewer seeds), slower bolting (late flowering) and slower growing.	Reduced fertility (70% fewer seeds), slower bolting (late flowering) and slower growing.	2377
1	Arabidopsis	ATG10	At3g07525	1.000	Increased sensitivity to nitrogen and carbon deprivation.	Increased sensitivity to nitrogen and carbon deprivation.	2377
1	Arabidopsis	ATG10	At3g07525	0.856	Hypersensitive to either nitrogen or carbon deprivation.	Increased sensitivity to nitrogen and carbon deprivation.	2377
1	Arabidopsis	ATG10	At3g07525	0.856	Increased sensitivity to nitrogen and carbon deprivation.	Hypersensitive to either nitrogen or carbon deprivation.	2377
1	Arabidopsis	ATG10	At3g07525	0.768	Sensitive to carbon starvation.	Sensitive to carbon starvation and limited nitrogen.	2377
1	Arabidopsis	ATG10	At3g07525	0.768	Sensitive to carbon starvation and limited nitrogen.	Sensitive to carbon starvation.	2377
1	Arabidopsis	ATG10	At3g07525	0.697	Sensitive to limited nitrogen.	Sensitive to carbon starvation and limited nitrogen.	2377
